Index,Date,Month,Year,USD/BDT
645,18,7,2012,81.8
646,19,7,2012,81.77
647,20,7,2012,81.765
648,23,7,2012,81.765
649,24,7,2012,81.8
650,25,7,2012,81.8
651,26,7,2012,81.71
652,27,7,2012,81.88
653,30,7,2012,81.725
654,31,7,2012,81.7
655,1,8,2012,81.695
656,2,8,2012,81.62
657,3,8,2012,81.775
658,6,8,2012,81.6
659,7,8,2012,81.515
660,8,8,2012,81.45
661,9,8,2012,81.515
662,10,8,2012,81.52
663,13,8,2012,81.52
664,14,8,2012,81.52
665,15,8,2012,81.52
666,16,8,2012,81.515
667,17,8,2012,81.515
668,20,8,2012,81.53
669,21,8,2012,81.53
670,22,8,2012,81.53
671,23,8,2012,81.53
672,24,8,2012,81.39
673,27,8,2012,81.38
674,28,8,2012,81.39
675,29,8,2012,81.38
676,30,8,2012,81.39
677,31,8,2012,81.71
678,3,9,2012,81.72
679,4,9,2012,81.71
680,5,9,2012,81.74
681,6,9,2012,81.74
682,7,9,2012,81.775
683,10,9,2012,81.82
684,11,9,2012,81.78
685,12,9,2012,81.93
686,13,9,2012,81.93
687,14,9,2012,81.84
688,17,9,2012,81.85
689,18,9,2012,81.79
690,19,9,2012,81.73
691,20,9,2012,81.73
692,21,9,2012,81.83
693,24,9,2012,81.665
694,25,9,2012,81.61
695,26,9,2012,81.6
696,27,9,2012,81.66
697,28,9,2012,81.65
698,1,10,2012,81.64
699,2,10,2012,81.58
700,3,10,2012,81.59
701,4,10,2012,81.73
702,5,10,2012,81.53
703,8,10,2012,81.525
704,9,10,2012,81.35
705,10,10,2012,81.31
706,11,10,2012,81.33
707,12,10,2012,81.23
708,15,10,2012,81.26
709,16,10,2012,81.32
710,17,10,2012,81.28
711,18,10,2012,81.225
712,19,10,2012,81.28
713,22,10,2012,81.29
714,23,10,2012,81.275
715,24,10,2012,81.23
716,25,10,2012,81.24
717,26,10,2012,81.33
718,29,10,2012,81.33
719,30,10,2012,81.33
720,31,10,2012,81.33
721,1,11,2012,81.33
722,2,11,2012,81.02
723,5,11,2012,81.45
724,6,11,2012,81.51
725,7,11,2012,81.34
726,8,11,2012,81.36
727,9,11,2012,81.6
728,12,11,2012,81.39
729,13,11,2012,81.78
730,14,11,2012,81.78
731,15,11,2012,81.83
732,16,11,2012,81.83
733,19,11,2012,81.79
734,20,11,2012,81.43
735,21,11,2012,81.3
736,22,11,2012,81.23
737,23,11,2012,81.23
738,26,11,2012,81.15
739,27,11,2012,81.25
740,28,11,2012,81.26
741,29,11,2012,81.78
742,30,11,2012,81.31
743,3,12,2012,81.35
744,4,12,2012,81.4
745,5,12,2012,81.37
746,6,12,2012,81.25
747,7,12,2012,81.1
748,10,12,2012,81.125
749,11,12,2012,81.02
750,12,12,2012,81.02
751,13,12,2012,81.02
752,14,12,2012,81.02
753,17,12,2012,81.025
754,18,12,2012,80.53
755,19,12,2012,80.73
756,20,12,2012,80.35
757,21,12,2012,80.33
758,24,12,2012,80.19
759,25,12,2012,80.13
760,26,12,2012,80.0
761,27,12,2012,79.93
762,28,12,2012,79.68
763,31,12,2012,79.71
764,1,1,2013,79.68
765,2,1,2013,79.68
766,3,1,2013,79.85
767,4,1,2013,79.86
768,7,1,2013,79.83
769,8,1,2013,79.81
770,9,1,2013,79.78
771,10,1,2013,79.79
772,11,1,2013,79.79
